Name,Tags,Date
Toon Shading Style,,
Surface Options,,
Albedo/Normal/Emission/OSM Textures,,
Diffuse/Lighting Behaviour (Ramp Shading),,
Specular Highlight,,
Rim Lighting,,
天使の輪 Hair Ring Highlight,,
MatCap Reflection,,
Shadows,,
Advanced Setup - Stencil/ZTest/RenderQueue,,
Post Process Screen Space Outline References,,
ASP/Eye - Albedo/Pupil/Emission Textures,,
ASP/Eye - Diffuse/Lighting Behaviour,,
ASP/Eye - MatCap Reflection,,
ASP/Eye - Highlights,,
